epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,834.853,0.7317,2.08803,1.06518,0.88462,0.80014,0.84456,0.61628,1.01136,3.27087,1.12444,0.000242136,0.000242136,0.000242136
79,843.403,0.73144,2.11861,1.06303,0.87058,0.79394,0.83922,0.61758,1.00714,3.24091,1.12297,0.000236959,0.000236959,0.000236959
80,852.075,0.72034,2.04712,1.05834,0.8435,0.80015,0.83292,0.61396,1.03777,3.30026,1.13838,0.00023179,0.00023179,0.00023179
81,860.761,0.72963,2.08279,1.06321,0.86768,0.79077,0.82032,0.61293,1.04686,3.44854,1.13582,0.000226629,0.000226629,0.000226629
82,869.457,0.70758,1.99008,1.04768,0.85831,0.80847,0.82322,0.61346,1.04699,3.41895,1.14741,0.00022148,0.00022148,0.00022148
83,878.321,0.71946,2.04544,1.05342,0.87146,0.81398,0.84287,0.619,1.01661,3.36447,1.13427,0.000216344,0.000216344,0.000216344
84,886.846,0.72464,2.04912,1.05806,0.85549,0.81071,0.8396,0.62354,1.0053,3.50147,1.11594,0.000211225,0.000211225,0.000211225
85,895.738,0.71066,2.01134,1.05255,0.866,0.80757,0.82862,0.61008,1.02361,3.38016,1.13238,0.000206123,0.000206123,0.000206123
86,904.439,0.70328,1.9851,1.05092,0.8649,0.80261,0.82119,0.61659,1.0211,3.43287,1.13297,0.000201042,0.000201042,0.000201042
87,913.125,0.70822,2.01263,1.05168,0.8678,0.80698,0.82121,0.61307,1.01663,3.35585,1.12581,0.000195983,0.000195983,0.000195983
88,921.598,0.7033,2.00107,1.04853,0.88232,0.80374,0.82674,0.61746,1.03638,3.48419,1.13145,0.000190949,0.000190949,0.000190949
89,930.109,0.71002,1.99979,1.0544,0.88165,0.80399,0.82559,0.60761,1.03187,3.4907,1.14408,0.000185942,0.000185942,0.000185942
90,938.796,0.7007,2.00228,1.05332,0.89029,0.80177,0.82772,0.60867,1.00263,3.39535,1.11682,0.000180965,0.000180965,0.000180965
91,947.232,0.69768,1.97034,1.04658,0.87892,0.79675,0.81653,0.60252,1.03987,3.47474,1.14353,0.000176018,0.000176018,0.000176018
92,955.609,0.69204,1.98703,1.04688,0.87747,0.7974,0.82592,0.61444,1.01843,3.31143,1.13359,0.000171106,0.000171106,0.000171106
93,964.158,0.69272,1.97529,1.04672,0.8785,0.81088,0.83469,0.62053,1.00353,3.55942,1.12381,0.000166228,0.000166228,0.000166228
94,973.296,0.68745,1.96589,1.0442,0.87717,0.80387,0.83377,0.61635,1.00998,3.47705,1.12842,0.000161389,0.000161389,0.000161389
95,984.224,0.69318,1.95868,1.04835,0.8739,0.802,0.83212,0.61835,1.00646,3.29975,1.12851,0.00015659,0.00015659,0.00015659
96,992.596,0.66994,1.90031,1.03531,0.87284,0.7975,0.82226,0.61981,1.01367,3.47307,1.13673,0.000151833,0.000151833,0.000151833
97,1001.33,0.69419,1.97588,1.05035,0.86584,0.80318,0.82384,0.61855,1.03354,3.51079,1.13932,0.00014712,0.00014712,0.00014712
98,1010.03,0.68904,1.96514,1.04649,0.86254,0.78923,0.82609,0.61287,1.03962,3.50554,1.13919,0.000142453,0.000142453,0.000142453
99,1019.7,0.67737,1.92856,1.03685,0.869,0.78986,0.81202,0.60256,1.04394,3.56421,1.1556,0.000137834,0.000137834,0.000137834
100,1028.27,0.674,1.9068,1.03399,0.87333,0.80208,0.81878,0.60429,1.02465,3.32218,1.13996,0.000133266,0.000133266,0.000133266
101,1036.74,0.68283,1.94106,1.03781,0.89073,0.80561,0.83012,0.61498,1.01384,3.36273,1.13091,0.00012875,0.00012875,0.00012875
102,1045.25,0.67292,1.88475,1.03665,0.88358,0.7959,0.81213,0.60275,1.01806,3.45023,1.1459,0.000124288,0.000124288,0.000124288
103,1053.77,0.66575,1.89336,1.03643,0.8756,0.80123,0.82169,0.61304,1.028,3.4668,1.14665,0.000119883,0.000119883,0.000119883
104,1062.28,0.67576,1.91767,1.03532,0.87506,0.80307,0.81972,0.6111,1.01619,3.46799,1.13733,0.000115536,0.000115536,0.000115536
105,1070.91,0.67678,1.92164,1.04073,0.88043,0.79582,0.81438,0.60233,1.00893,3.37246,1.14239,0.000111248,0.000111248,0.000111248
106,1079.32,0.68114,1.95724,1.04547,0.88097,0.79986,0.82251,0.60566,0.99293,3.2775,1.13676,0.000107023,0.000107023,0.000107023
107,1088.06,0.67715,1.90839,1.03995,0.88798,0.79781,0.8285,0.60968,1.00207,3.24104,1.13421,0.000102862,0.000102862,0.000102862
108,1096.7,0.67144,1.90819,1.0358,0.87845,0.8056,0.83608,0.61527,1.00532,3.23356,1.14255,9.87659e-05,9.87659e-05,9.87659e-05
109,1105.07,0.66017,1.87541,1.03159,0.88401,0.79238,0.82495,0.61376,0.98674,3.30739,1.12097,9.47376e-05,9.47376e-05,9.47376e-05
110,1113.54,0.67041,1.88558,1.03528,0.8749,0.78825,0.81637,0.6093,0.99439,3.38556,1.13218,9.07784e-05,9.07784e-05,9.07784e-05
111,1122.06,0.66536,1.87225,1.03709,0.87345,0.79015,0.8139,0.61305,0.99515,3.28237,1.14084,8.68902e-05,8.68902e-05,8.68902e-05
112,1130.84,0.66982,1.89818,1.03759,0.85384,0.81241,0.82242,0.61309,1.00792,3.2993,1.14539,8.30746e-05,8.30746e-05,8.30746e-05
113,1139.45,0.6675,1.87649,1.03239,0.86249,0.80019,0.82115,0.60951,0.99524,3.29712,1.14045,7.93333e-05,7.93333e-05,7.93333e-05
114,1147.98,0.65532,1.83612,1.0309,0.88585,0.79078,0.82769,0.61125,0.99913,3.28501,1.13821,7.5668e-05,7.5668e-05,7.5668e-05
115,1156.35,0.6571,1.86258,1.0309,0.87426,0.79508,0.82437,0.61285,1.0005,3.28163,1.14681,7.20803e-05,7.20803e-05,7.20803e-05
116,1164.68,0.6638,1.86899,1.03259,0.87497,0.80249,0.83065,0.61714,1.00189,3.31341,1.13547,6.85717e-05,6.85717e-05,6.85717e-05
117,1173.13,0.65393,1.81391,1.02228,0.8641,0.80973,0.82702,0.61174,1.00161,3.32262,1.14018,6.51437e-05,6.51437e-05,6.51437e-05
118,1181.49,0.6589,1.86439,1.03667,0.87533,0.79836,0.82882,0.61665,0.9987,3.32181,1.13794,6.1798e-05,6.1798e-05,6.1798e-05
119,1189.91,0.64879,1.81818,1.02678,0.87506,0.80556,0.82581,0.61783,1.00344,3.34381,1.14708,5.85359e-05,5.85359e-05,5.85359e-05
120,1198.4,0.64378,1.79794,1.02069,0.86604,0.81165,0.83216,0.6186,1.01096,3.33321,1.15086,5.53588e-05,5.53588e-05,5.53588e-05
121,1206.91,0.65064,1.81916,1.02613,0.87034,0.80703,0.82782,0.61817,0.99412,3.37977,1.14048,5.22683e-05,5.22683e-05,5.22683e-05
122,1215.46,0.65343,1.84101,1.0265,0.8672,0.80847,0.82843,0.61465,0.99961,3.3319,1.14332,4.92656e-05,4.92656e-05,4.92656e-05
123,1223.92,0.6513,1.84433,1.0273,0.8702,0.81718,0.83012,0.61615,0.99741,3.2707,1.14168,4.6352e-05,4.6352e-05,4.6352e-05
124,1232.34,0.64377,1.81116,1.02575,0.863,0.81088,0.82181,0.61189,0.99637,3.28337,1.14035,4.35288e-05,4.35288e-05,4.35288e-05
125,1241.15,0.64264,1.80368,1.02193,0.86013,0.8069,0.82122,0.617,0.99506,3.28086,1.14267,4.07973e-05,4.07973e-05,4.07973e-05
126,1249.55,0.65962,1.84412,1.02864,0.86688,0.81524,0.82846,0.61594,0.99973,3.26728,1.1414,3.81587e-05,3.81587e-05,3.81587e-05
127,1257.95,0.65099,1.81663,1.02464,0.86939,0.81123,0.83334,0.61752,1.00185,3.28075,1.14362,3.56141e-05,3.56141e-05,3.56141e-05
128,1266.64,0.65415,1.8253,1.02929,0.86709,0.80679,0.82528,0.6187,0.99917,3.31507,1.1437,3.31646e-05,3.31646e-05,3.31646e-05
129,1275.02,0.63164,1.7655,1.01735,0.87253,0.79357,0.8191,0.61452,1.00642,3.31649,1.14965,3.08113e-05,3.08113e-05,3.08113e-05
130,1283.57,0.64769,1.7981,1.02767,0.86514,0.80692,0.82233,0.61809,1.00152,3.34892,1.14516,2.85553e-05,2.85553e-05,2.85553e-05
131,1291.53,0.55219,1.32376,0.96016,0.87516,0.79124,0.82349,0.60984,1.00742,3.27275,1.1545,2.63975e-05,2.63975e-05,2.63975e-05
132,1299.38,0.5536,1.2972,0.96381,0.88022,0.79297,0.82565,0.61254,1.01527,3.34312,1.16105,2.43389e-05,2.43389e-05,2.43389e-05
133,1309.16,0.54802,1.2826,0.9585,0.86467,0.80072,0.82704,0.61641,1.01367,3.37893,1.16235,2.23803e-05,2.23803e-05,2.23803e-05
134,1317.05,0.55262,1.27412,0.96147,0.85915,0.80973,0.82734,0.61667,1.00533,3.40549,1.15498,2.05227e-05,2.05227e-05,2.05227e-05
135,1325.08,0.54992,1.28228,0.96316,0.85963,0.80924,0.82662,0.61688,1.0026,3.4087,1.15461,1.87668e-05,1.87668e-05,1.87668e-05
136,1333.26,0.54587,1.27564,0.96256,0.85371,0.80812,0.82476,0.61486,1.00398,3.40779,1.15688,1.71135e-05,1.71135e-05,1.71135e-05
137,1341.45,0.54852,1.26514,0.96055,0.85826,0.80674,0.82441,0.61553,1.00393,3.4069,1.15726,1.55634e-05,1.55634e-05,1.55634e-05
138,1349.55,0.5454,1.26428,0.96267,0.86423,0.81003,0.8263,0.61677,1.00821,3.44444,1.15909,1.41173e-05,1.41173e-05,1.41173e-05
139,1357.55,0.53819,1.25503,0.95641,0.86686,0.81093,0.82531,0.61541,1.00509,3.42061,1.15932,1.27757e-05,1.27757e-05,1.27757e-05
140,1365.59,0.54015,1.25919,0.96186,0.87027,0.80954,0.82626,0.61498,1.00582,3.42286,1.15873,1.15392e-05,1.15392e-05,1.15392e-05
141,1373.81,0.54133,1.25958,0.95964,0.86712,0.81014,0.82528,0.61443,1.00279,3.41627,1.15565,1.04085e-05,1.04085e-05,1.04085e-05
142,1381.91,0.54596,1.25953,0.96266,0.86095,0.80954,0.82435,0.61444,0.9996,3.40078,1.15441,9.38391e-06,9.38391e-06,9.38391e-06
143,1389.86,0.5426,1.25523,0.95505,0.86874,0.8095,0.82743,0.61299,0.99932,3.39603,1.15453,8.46598e-06,8.46598e-06,8.46598e-06
144,1398,0.54403,1.25457,0.95752,0.86717,0.80753,0.82488,0.61438,0.99969,3.38318,1.15424,7.6551e-06,7.6551e-06,7.6551e-06
145,1406.08,0.54388,1.26073,0.95749,0.86215,0.80861,0.82584,0.61272,0.99805,3.39216,1.15448,6.95161e-06,6.95161e-06,6.95161e-06
146,1413.99,0.54308,1.26076,0.95786,0.86405,0.80258,0.82423,0.61295,0.99739,3.38733,1.15527,6.35583e-06,6.35583e-06,6.35583e-06
147,1422.4,0.53796,1.25817,0.96066,0.86725,0.80149,0.82371,0.61276,0.99582,3.3595,1.15585,5.86802e-06,5.86802e-06,5.86802e-06
148,1430.29,0.54227,1.26021,0.95838,0.86167,0.80824,0.82383,0.61238,0.99723,3.37716,1.15506,5.48838e-06,5.48838e-06,5.48838e-06
149,1440.98,0.54023,1.2578,0.95648,0.85986,0.80853,0.82351,0.61271,0.99997,3.38952,1.1568,5.2171e-06,5.2171e-06,5.2171e-06
150,1451.43,0.54333,1.25579,0.96003,0.86233,0.80686,0.82305,0.61252,0.99999,3.39319,1.15695,5.05428e-06,5.05428e-06,5.05428e-06
